😿|crying-cat|😿|crying-cat|false|1
😾|pouting-cat|😾|pouting-cat|false|1
🤲|palms-up-together|🤲|palms-up-together|true|1
🤲🏻|palms-up-together-light-skin-tone|🤲|palms-up-together|true|1
🤲🏼|palms-up-together-medium-light-skin-tone|🤲|palms-up-together|true|1
🤲🏽|palms-up-together-medium-skin-tone|🤲|palms-up-together|true|1
🤲🏾|palms-up-together-medium-dark-skin-tone|🤲|palms-up-together|true|1
🤲🏿|palms-up-together-dark-skin-tone|🤲|palms-up-together|true|1
👐|open-hands|👐|open-hands|true|1
👐🏻|open-hands-light-skin-tone|👐|open-hands|true|1
👐🏼|open-hands-medium-light-skin-tone|👐|open-hands|true|1
👐🏽|open-hands-medium-skin-tone|👐|open-hands|true|1
👐🏾|open-hands-medium-dark-skin-tone|👐|open-hands|true|1
👐🏿|open-hands-dark-skin-tone|👐|open-hands|true|1
🙌|raising-hands|🙌|raising-hands|true|1
🙌🏻|raising-hands-light-skin-tone|🙌|raising-hands|true|1
🙌🏼|raising-hands-medium-light-skin-tone|🙌|raising-hands|true|1
🙌🏽|raising-hands-medium-skin-tone|🙌|raising-hands|true|1
🙌🏾|raising-hands-medium-dark-skin-tone|🙌|raising-hands|true|1
🙌🏿|raising-hands-dark-skin-tone|🙌|raising-hands|true|1
👏|clapping-hands|👏|clapping-hands|true|1
👏🏻|clapping-hands-light-skin-tone|👏|clapping-hands|true|1
👏🏼|clapping-hands-medium-light-skin-tone|👏|clapping-hands|true|1
👏🏽|clapping-hands-medium-skin-tone|👏|clapping-hands|true|1
👏🏾|clapping-hands-medium-dark-skin-tone|👏|clapping-hands|true|1
👏🏿|clapping-hands-dark-skin-tone|👏|clapping-hands|true|1
🤝|handshake|🤝|handshake|false|1
🤝🏻|handshake-light-skin-tone|🤝|handshake|true|1
🤝🏼|handshake-medium-light-skin-tone|🤝|handshake|true|1
🤝🏽|handshake-medium-skin-tone|🤝|handshake|true|1
🤝🏾|handshake-medium-dark-skin-tone|🤝|handshake|true|1
🤝🏿|handshake-dark-skin-tone|🤝|handshake|true|1
👍|thumbs-up|👍|thumbs-up|true|1
👍🏻|thumbs-up-light-skin-tone|👍|thumbs-up|true|1
👍🏼|thumbs-up-medium-light-skin-tone|👍|thumbs-up|true|1
👍🏽|thumbs-up-medium-skin-tone|👍|thumbs-up|true|1
👍🏾|thumbs-up-medium-dark-skin-tone|👍|thumbs-up|true|1
👍🏿|thumbs-up-dark-skin-tone|👍|thumbs-up|true|1
👎|thumbs-down|👎|thumbs-down|true|1
👎🏻|thumbs-down-light-skin-tone|👎|thumbs-down|true|1
👎🏼|thumbs-down-medium-light-skin-tone|👎|thumbs-down|true|1
